Tipo;Designacion;d;bf;tf;hw;tw=r1;r2;bf/2tf;hw/tw;Ag;Peso;Ix;Sx;rx;Qx;Zx;Iy;Sy;ry;Qy;1.5Sy;Zy;w1;d1;w4;t1;w3;J;Cw;X1;X2
W;24x192;647;329;37.1;533.0;20.6;;4.4;25.9;363.2;285.7;260561.0;8046.0;26.7;4580.0;9160.0;22060.0;1340.0;7.8;1032.0;2011.0;2065.0;;;;;;1290.0;20462433.0;23511;24.2
W;24x176;641;327;34.0;533.0;19.1;;4.8;28.0;333.5;261.9;236419.0;7374.0;26.7;4187.0;8374.0;19937.0;1218.0;7.7;942.0;1826.0;1885.0;;;;;;1003.0;18367853.0;21650;33.4
W;24x162;635;329;31.0;533.0;17.9;;5.3;29.8;307.7;241.0;215192.0;6784.0;26.4;3835.0;7669.0;18439.0;1121.0;7.8;860.0;1681.0;1721.0;;;;;;770.0;16810345.0;19788;47.5
W;24x146;628;328;27.7;533.0;16.5;;5.9;32.3;277.4;217.0;190634.0;6080.0;26.2;3425.0;6850.0;16275.0;991.0;7.7;764.0;1487.0;1527.0;;;;;;558.0;14662058.0;17857;71.9
W;24x131;622;327;24.4;533.0;15.4;;6.7;34.7;248.4;194.9;167325.0;5391.0;25.9;3032.0;6063.0;14152.0;869.0;7.5;668.0;1303.0;1336.0;;;;;;395.0;12648039.0;16065;111
W;24x117;616;325;21.6;533.0;14.0;;7.5;38.2;221.9;174.1;147346.0;4769.0;25.7;2679.0;5359.0;12362.0;762.0;7.5;585.0;1143.0;1170.0;;;;;;280.0;10956263.0;14410;172
W;24x104;611;324;19.1;533.0;12.7;;8.5;42.0;197.4;154.8;129032.0;4228.0;25.7;2368.0;4736.0;10780.0;667.0;7.4;511.0;1000.0;1023.0;;;;;;196.0;9452463.0;12824;271
W;24x103;623;229;24.9;533.0;14.0;;4.6;38.2;195.5;153.3;124869.0;4015.0;25.3;2294.0;4588.0;4953.0;434.0;5.1;340.0;651.0;680.0;;;;;;296.0;4457695.0;16547;111
W;24x94;617;230;22.2;533.0;13.1;;5.2;40.8;178.7;139.9;112382.0;3638.0;25.1;2081.0;4162.0;4537.0;393.0;5.0;307.0;590.0;615.0;;;;;;219.0;4028038.0;15031;164
W;24x84;612;229;19.6;533.0;11.9;;5.9;44.7;159.4;125.0;98647.0;3212.0;24.9;1835.0;3671.0;3929.0;342.0;5.0;267.0;514.0;534.0;;;;;;154.0;3437259.0;13445;257
